reaction_id	pathway_ids (KEGG and Metacyc
rxn00335	PWY-6649
rxn00336	rn00630	rn01200
rxn00337	DAPLYSINESYN-PWY	HOMOSERSYN-PWY	MET-SAM-PWY	METSYN-PWY	P101-PWY	P4-PWY	PWY-2941	PWY-2942	PWY-3001	PWY-5097	PWY-5345	PWY-5347	PWY-6160	PWY-6165	PWY-6559	PWY-6562	PWY-6565	PWY-7153	PWY-724	PWY-7977	PWY0-781	THRESYN-PWY	rn00260	rn00270	rn00300	rn01110	rn01210	rn01230
rxn00338	PWY-5316	PWY-7342	PWY0-781	PYRIDNUCSYN-PWY	rn00760
rxn00339	
rxn00340	ASPARAGINESYN-PWY	ASPASN-PWY	PWY0-1325	rn00250	rn00460	rn01110	rn01230
rxn00341	rn00250
rxn00342	ASPARAGINE-DEG1-PWY	ASPARAGINE-DEG1-PWY-1	ASPASN-PWY	rn00250	rn00460	rn01110
rxn00343	ASPSYNII-PWY	rn00460
rxn00344	rn00250
rxn00345	rn00250
rxn00346	PANTOSYN-PWY	PWY-5155	rn00410	rn00770	rn01110
rxn00347	ASPASN-PWY	GLUTDEG-PWY	rn00250
rxn00348	rn00250
rxn00349	
rxn00350	PWY-7559	rn00480
rxn00351	GLUTATHIONESYN-PWY	PWY-4041	rn00480
rxn00352	
rxn00353	
rxn00354	rn00520	rn01110
rxn00355	PWY-3821	PWY-6527	rn00052	rn00520	rn01110
rxn00356	rn00052
rxn00357	
rxn00358	OANTIGEN-PWY	PWY-6397	PWY-6404	PWY-7328	PWY-7622	rn00052
rxn00359	rn00230	rn00920
rxn00360	rn00920
rxn00361	PWY-5340	PWY-5345	PWY-821	SO4ASSIM-PWY	SULFATE-CYS-PWY	rn00230	rn00920
rxn00362	PWY-7569	PWY-7570	rn00240
rxn00363	PWY-7185	rn00240
rxn00364	PWY-7196	PWY-7205	rn00240
rxn00365	PWY-5532	PWY-7193	PWY-7196	rn00240
rxn00366	rn00240
rxn00367	rn00240
rxn00368	rn00240
rxn00369	rn00240
rxn00370	rn00630
rxn00371	P164-PWY	PWY-1881	PWY-1882	PWY-5497	PWY-6696	PWY-7985	rn00630	rn00680	rn01200
rxn00372	PWY-6696	PWY-7985	PWY66-387	PWY66-388	rn00630
rxn00373	PWY-6698	rn00630
rxn00374	PWY-7142	rn00460	rn00630	rn00910	rn01200
rxn00375	rn00340	rn00630
rxn00376	rn00340	rn00630
rxn00377	PWY-1801	PWY-1882	rn00680	rn01200
rxn00378	rn00920
rxn00379	DISSULFRED-PWY	P224-PWY	PWY-5278	PWY-5306	PWY-5308	PWY-5340	PWY-5345	PWY-6676	PWY-6683	PWY-821	SO4ASSIM-PWY	SULFATE-CYS-PWY	SULFMETII-PWY	rn00230	rn00920
rxn00380	PWY-5279	PWY-5304	rn00920
rxn00381	rn00920
rxn00382	
rxn00383	PWY-5326	PWY-5328	PWY-7927	rn00920
rxn00384	
rxn00385	rn00140
rxn00386	rn00140
rxn00387	rn00140
rxn00388	rn00910
rxn00389	
rxn00390	
rxn00391	rn00740
rxn00392	P381-PWY	PWY-5507	PWY-5523	PWY-6168	PWY-7863	PWY66-366	RIBOSYN2-PWY	rn00740
rxn00393	
rxn00394	ARG-GLU-PWY	ARG-PRO-PWY	ARGASEDEG-PWY	CITRULBIO-PWY	PWY-4984	PWY-5004	PWY-6305	PWY-6922	L-Ornithine-Biosynthesis	</sup></i>-acetylornithine	rn00330	rn01110	rn01230
rxn00395	ARGDEGRAD-PWY	ARGORNPROST-PWY	PWY-4981	rn00330	rn01110
rxn00396	rn00330
rxn00397	
rxn00398	ARGDEG-IV-PWY
rxn00399	
rxn00400	rn00330
rxn00401	ARGDEG-V-PWY	rn00330
rxn00402	PWY-7351	rn00330
rxn00403	rn00330
rxn00404	GLYCGREAT-PWY	PWY-7693	rn00260	rn00330
rxn00405	ARGDEG-III-PWY	ARGDEG-PWY	ORNARGDEG-PWY	POLYAMINSYN3-PWY	POLYAMSYN-PWY	PWY-40	PWY-43	PWY-6305	PWY-6834	PWY0-1299	PWY0-823	L-ornithine	rn00330
rxn00406	rn00472
rxn00407	rn00240
rxn00408	PWY-6545	PWY-7184	PWY-7198	PWY-7210	PWY-7211	PWY0-166	rn00240
rxn00409	PWY-7196	PWY-7205	rn00240
rxn00410	rn00240
rxn00411	
rxn00412	PRPP-PWY	PWY-7176	PWY-7177	PWY-7185	PWY-7196	PWY-7208	PWY-7211	PWY0-162	rn00240
rxn00413	
rxn00414	ARGSYN-PWY	ARGSYNBSUB-PWY	PRPP-PWY	PWY-5154	PWY-5686	PWY-7211	PWY-7400	PWY-7790	PWY-7791	PWY0-162	L-ornithine))	rn00240	rn00250
rxn00415	rn00250
rxn00416	PWY0-1325	rn00250	rn01110
rxn00417	rn00471
rxn00418	ALL-CHORISMATE-PWY	ENTBACSYN-PWY	PWY-7751	PWY-7987
rxn00419	
rxn00420	SER-GLYSYN-PWY	SERSYN-PWY	SULFATE-CYS-PWY	rn00260	rn00680	rn01200	rn01230
rxn00421	
rxn00422	PWY-8011	rn00260
rxn00423	CYSTSYN-PWY	PWY-6395	PWY-6936	PWY-7274	PWY-7870	SULFATE-CYS-PWY	rn00270	rn00920	rn01200	rn01230
rxn00424	PWY-1622	PWY-181	PWY-8011	rn00260	rn00630	rn00680	rn01110	rn01200
rxn00425	PWY-6196	PWY-6455	rn00260
rxn00426	PWY-3661	PWY-5497	SERDEG-PWY	rn00270
rxn00427	
rxn00428	rn00625
rxn00429	FORMASS-PWY	PWY-1882	PWY-7616	rn00625	rn00680	rn01200
rxn00430	PWY-6510	PWY-7616	rn00680
rxn00431	
rxn00432	PWY-5506	rn00680	rn01200
